voterIds,owner
1,0xe795cE77F59C961DE39988e03f60CbEE0D3b34a8
1,0xeA5DcA8cAc9c12Df3AB5908A106c15ff024CB44F
2,0x2B5D030A8e0951449D166140c23cAc4567777777
1,0x0D44d39c9D2EfbB612E474CDC9686C98df30a0a6
1,0xd44a4ee191C6Ba84a12e9e217ADD9a61D84eE6eb
1,0xCe71eC2Db82d10FE60F053CBb5009aCb171f3190
15,0x67acB72ea79131bb6061470413221B3584Fce640
1,0xBB34fe1227303AC6121092783dCe6fC567a57034
1,0x4F7b201294EDf99D707BB138Db3b5bb2091D6845
2,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4
1,0xdB814bfA302b040FA684F53f74ab638D2DC62107
1,0x288fE43139741F91a8Cbb6F4adD83811c794851b
1,0x11e967737331C1dCB2a04209e9Be524016AaC55D
2,0x0594b57b092e02f391e763fDdD2255C43aF86b9A
5,0x6e5d43A620fC9456A1F23BE69933a516E177dDec
1,0xAa74f9dF7664e66783ECA091f93DDE27b233b58B
1,0xE319d04FEd54c473A956209cC90eCEBF6df3FB47
1,0x29f0e5f58949C1995ee21267D3d97F361A641A62
1,0xC2326dc6e79F6750541550AF0064F829ce8312c0
1,0x6CF51FDeF74d02296017A1129086Ee9C3477DC01
1,0x75B9B236801B273003beb57F823b434AE49f1be8
5,0x2BE9C16e99be3CA77af5a0133a11E129D7B176CE
2,0x10F043fd81bB740253F64394a4781e48ae9E2006
1,0xCAB81920134BB8a6fE2BF3760B445b741A44de5B
1,0x85670c918fd6A80bdc92202C59D20b6E0c01C7E9
1,0x09AB3c8D43FdF2705B56Aa98E9dA03c5985fD5e1
1,0x8Aba035AE515E31117909AD1d3a6F690F87378d0
1,0x917393eB75D01c9bAb353F9f7EbA9e8880e3520a
1,0xC0C0A8261B04e171bfE59C3628D69b5568cFa316
1,0x706dfF311694E2F99eA52c007b93499A136017fB
1,0xda569dFdB06d72526246de8B0C44B0D9934CDcb5
1,0xDfB3b7d463e6d8B85Bde29e68220A829abb7388F
1,0x60Df8a187Bd4edC720E272f6Ea0d068355Ef39aB
1,0xC6dDF90790b433743bd050c1D1d45f673A3413F4
1,0x1439734e37552df17bCf2FF0F1E87483a09c8655
1,0x6dd9e5b13412C811e02B0B9CE33D998Ae3Fc232d
1,0xeD44745042FfBc012b19788Ed78f8d539CD12C02
1,0xf4AA38171f15adbcF0924f7F342bDb82eE6C33ba
1,0xe3f061d9724f0DaACaADa6438B32E7492F2Bf251
1,0x5bE456902da8bE506782150e7a8Ffea573f4d8A9
1,0x14B1DE0E7E1106e629c3abe3F09F3373C428D123
1,0x662852A6dDC15f86f02DD48426a8A75BfF6FA20E
1,0x5E4038eb6F1e7316a45ed569E94c8cd1706a5eC5
1,0x47B9Be2ABf641E19175b5258a3c639e06eb20AC7
1,0x1037012a4c2Fa9544Eb831b47639333b487ceb09
1,0x41885615207032BaB91Ef8B062f03613a00fA0E3
2,0x563295b303Ddf8857c687028801cEA54130A6e8d
5,0xfDC09C96E5B7EBe2F6C36E1bc0B6a6A8C6571C82
2,0x95D9bED31423eb7d5B68511E0352Eae39a3CDD20
1,0x4257BC72eA94E5f7459190DEE12236EE7eE0203c
3,0x36AF13E2188bCF041250231df380B828BF43AEd2
1,0xB813573c0448d01caEd0cF0d17a3aADe677f882C
1,0x1e4Df1446E64AB5eAB1C92627417a6e4463322B9
1,0x5aD32C7aeE7F06575EE0740cda8E6bd095CC3919
